"('Big Ten', np.int64(57))","('SEC', np.int64(30))","('ACC', 'DNS')","('Big 12', np.int64(97))","('FBS Indep.', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Ohio State', 1)","('Texas A&M', 3)","('Georgia Tech', 7)","('BYU', 11)","('Notre Dame', 12)","('South Florida', 18)","('San Diego St', 31)","('James Madison', 32)"
"('Indiana', 2)","('Alabama', 4)","('Miami', 9)","('Texas Tech', 14)",,"('Tulane', 28)","('Boise St', 33)",
"('Oregon', 6)","('Georgia', 5)","('Virginia', 16)","('Cincinnati', 21)",,"('Navy', 30)",,
"('Illinois', 23)","('Ole Miss', 8)","('Louisville', 19)","('Arizona St', 24)",,,,
"('Michigan', 25)","('Vanderbilt', 10)",,"('Utah', 27)",,,,
"('USC', 26)","('Oklahoma', 13)",,"('Houston', 29)",,,,
"('Minnesota', 35)","('Missouri', 15)",,"('TCU', 34)",,,,
,"('Tennessee', 17)",,,,,,
,"('LSU', 20)",,,,,,
,"('Texas', 22)",,,,,,
